prevword,nextword,prevtag,nexttag,class
формальный,-,ADJF,-,1
межчеловеческий,-,ADJF,-,3
нервный,-,ADJF,-,1
причинноследственный,-,ADJF,-,1
система,-,NOUN,-,8
межвузовский,-,ADJF,-,1
человеческий,-,ADJF,-,3
межгосударственный,-,ADJF,-,1
сотовый,-,ADJF,-,5
средство,-,NOUN,-,5
предприятие,-,NOUN,-,5
и,-,CONJ,-,3
сотовый,-,ADJF,-,5
причинноследственый,-,ADJF,-,1
устный,-,ADJF,-,1
этот,-,ADJF,-,1
канал,-,NOUN,-,5
жёсткий,-,ADJF,-,1
любовный,-,ADJF,-,3
свободный,-,ADJF,-,1
разорвать,-,VERB,-,5
телефонный,-,ADJF,-,5
и,-,CONJ,-,3
причинноследственный,-,ADJF,-,1
половый,-,ADJF,-,3
о,15фз,PREP,NOUN,5
по,а,PREP,CONJ,3
оператор,бесплатный,NOUN,ADJF,5
свой,быть,ADJF,VERB,3
и,в,CONJ,PREP,1
этот,в,ADJF,PREP,10
мобильный,в,ADJF,PREP,5
качество,в,NOUN,PREP,5
оптический,в,ADJF,PREP,5
почтовый,весь,ADJF,ADJF,5
быть,весь,VERB,ADJF,1
обратный,возникать,ADJF,VERB,1
этот,всего,ADJF,ADVB,1
наш,вы,ADJF,NPRO,3
и,горадминистрация,CONJ,NOUN,5
свой,для,ADJF,PREP,3
служба,если,NOUN,CONJ,0
готовый,есть,ADJF,INTJ,5
личный,знание,ADJF,NOUN,3
и,и,CONJ,CONJ,1
кооперационный,и,ADJF,CONJ,1
семейный,и,ADJF,CONJ,3
внешний,и,ADJF,CONJ,3
оператор,и,NOUN,CONJ,5
современный,и,ADJF,CONJ,5
возможный,и,ADJF,CONJ,3
постоянный,и,ADJF,CONJ,1
благодаря,и,PREP,CONJ,3
взятка,и,NOUN,CONJ,3
мобильный,изначально,ADJF,ADVB,5
социальный,как,ADJF,CONJ,3
в,как,PREP,CONJ,10
добрый,как,ADJF,CONJ,3
форма,который,NOUN,ADJF,3
тем,который,CONJ,ADJF,1
социальный,маленький,ADJF,ADJF,3
компания,мдмбанк,NOUN,NOUN,5
усиление,между,NOUN,PREP,1
развитие,между,NOUN,PREP,1
о,между,PREP,PREP,1
непрямой,между,ADJF,PREP,1
характер,между,NOUN,PREP,1
маленький,между,ADJF,PREP,10
динамический,между,ADJF,PREP,1
экономический,между,ADJF,PREP,1
отражать,между,VERB,PREP,1
возобновить,между,INFN,PREP,1
понятный,между,ADJS,PREP,1
сохраняться,между,VERB,PREP,1
устранить,между,INFN,PREP,1
внешнеэкономический,минобороны,ADJF,NOUN,3
институт,мой,NOUN,ADJF,5
мобильный,мочь,ADJF,VERB,5
внутренний,на,ADJF,PREP,5
этот,намечаться,ADJF,VERB,10
межнациональный,народ,ADJF,NOUN,1
и,население,CONJ,NOUN,5
пульсировать,настоящий,PRTF,ADJF,1
сотовый,не,ADJF,PRCL,5
порочить,не,PRTF,PRCL,3
восток,непонятно,NOUN,ADVB,3
родственный,нечто,ADJF,NPRO,3
мобильный,но,ADJF,CONJ,5
этот,о,ADJF,PREP,10
социальный,обусловить,ADJF,PRTS,3
на,одновременно,PREP,ADVB,5
родственный,она,ADJF,NPRO,3
инкорпорация,они,NOUN,NPRO,1
школа,они,NOUN,NPRO,5
громкоговорящий,остановиться,ADJF,INFN,5
для,отдалённый,PREP,ADJF,1
прямая,отличать,NOUN,VERB,1
кабельный,передавать,ADJF,PRTF,8
крепкий,поддержка,ADJF,NOUN,3
иной,позволять,ADJF,PRTF,5
этот,принимать,ADJF,GRND,1
волоконнооптический,производство,ADJF,NOUN,5
о,радек,PREP,NOUN,3
смысловой,различный,ADJF,ADJF,1
потом,распасться,ADVB,VERB,5
внешнеэкономический,рф,ADJF,NOUN,1
обратный,рынок,ADJF,NOUN,1
он,с,NPRO,PREP,2
укрепление,с,NOUN,PREP,1
отсутствие,с,NOUN,PREP,1
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
хозяйственный,с,ADJF,PREP,3
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
тесный,с,ADJF,PREP,1
нащупывать,с,INFN,PREP,1
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
причинноследственный,с,ADJF,PREP,1
в,с,PREP,PREP,10
всякая,с,NPRO,PREP,1
сеанс,с,NOUN,PREP,5
в,с,PREP,PREP,10
за,с,PREP,PREP,3
в,с,PREP,PREP,10
в,с,PREP,PREP,10
её,с,ADJF,PREP,1
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
канал,с,NOUN,PREP,5
в,с,PREP,PREP,10
порвать,с,PRTF,PREP,3
в,с,PREP,PREP,10
в,с,PREP,PREP,10
есть,с,INTJ,PREP,3
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
тесный,с,ADJF,PREP,3
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
в,с,PREP,PREP,10
тесный,с,ADJF,PREP,3
«потерять,с,VERB,PREP,1
эмоциональный,с,ADJF,PREP,2
удивительный,с,ADJF,PREP,2
они,с,NPRO,PREP,1
он,с,NPRO,PREP,3
пропадать,с,VERB,PREP,5
духовный,с,ADJF,PREP,1
шифровать,с,PRTF,PREP,5
установить,с,INFN,PREP,5
насильственный,с,ADJF,PREP,3
мистический,с,ADJF,PREP,1
обратный,с,ADJF,PREP,1
братский,с,ADJF,PREP,3
обратный,с,ADJF,PREP,1
идеальный,с,ADJF,PREP,3
по,с,PREP,PREP,1
по,с,PREP,PREP,1
по,с,PREP,PREP,1
давний,с,ADJF,PREP,3
хозяйственный,сколько,ADJF,CONJ,1
тесный,сносный,ADJF,ADJF,1
без,спасибо,PREP,INTJ,5
телефонный,стать,ADJF,VERB,5
связать,столь,VERB,ADVB,3
этот,существенный,ADJF,ADJF,10
на,то,PREP,CONJ,1
офицер,у,NOUN,PREP,5
канал,устойчивый,NOUN,ADJS,5
организационный,хотя,ADJF,CONJ,3
дружеский,часто,ADJF,ADVB,3
тот,что,ADJF,CONJ,10
химический,это,ADJF,PRCL,1
этот,я,ADJF,NPRO,1
наладить,-,VERB,-,5
